Case_Number,Date,Buyout_Amount,Number_of_Tenants,Address,Buyout_Agreement_Source_Zipcode,Supervisor_District,Neighborhoods_Analysis_Boundaries,Location
B163549,11/04/2016,"$132,000.00",1,200 Block Of Lincoln Way,94122,5,Inner Sunset,"37.7660877746715, -122.460552723843"
B163550,11/04/2016,,,1000 Block Of Larkin Street,94109,3,Nob Hill,"37.7872715203045, -122.418249647967"
B163551,11/04/2016,,,3200 Block Of Mission Street,94110,9,Bernal Heights,"37.7447384332714, -122.42051792069"
B163552,11/04/2016,,,1000 Block Of York Street,94110,9,Mission,"37.7552580411775, -122.408352038955"
B163553,11/04/2016,,,1000 Block Of York Street,94110,9,Mission,"37.7552580411775, -122.408352038955"
B163547,11/03/2016,"$45,000.00",1,3500 Block Of Anza Street,94121,1,Outer Richmond,"37.7780381586971, -122.486198515542"
B163548,11/03/2016,,,0 Block Of Iris Avenue,94118,2,Presidio Heights,"37.7850009819369, -122.451942215164"
B163464,11/02/2016,,,1200 Block Of Revere Avenue,94124,10,Bayview Hunters Point,"37.7279106758803, -122.383661848274"
B163546,11/02/2016,,,400 Block Of Hoffman Avenue,94114,8,Noe Valley,"37.7500971536049, -122.440606260273"
B163456,11/01/2016,"$64,633.00",1,0 Block Of Beulah Street,94117,5,Haight Ashbury,"37.767537139656, -122.450899914748"
B163457,11/01/2016,"$25,000.00",2,300 Block Of Kensington Way,94127,7,West of Twin Peaks,"37.7431078286496, -122.462465499872"
B163462,11/01/2016,,,1700 Block Of Steiner Street,94115,5,Japantown,"37.7854187729713, -122.434755485233"
B163463,11/01/2016,,,1000 Block Of Prague Street,94112,11,Excelsior,"37.7101468398749, -122.438125664879"
B163455,10/31/2016,,,0 Block Of Gough Street,94103,6,Mission,"37.7720959509308, -122.420657325664"
B163458,10/31/2016,,,2400 Block Of California Street,94115,2,Pacific Heights,"37.7888558490736, -122.43467356431"
B163459,10/31/2016,"$35,000.00",2,400 Block Of 22nd Avenue,94121,1,Outer Richmond,"37.7792717046679, -122.481379084993"
B163460,10/31/2016,,1,1000 Block Of Florida Street,94110,9,Mission,"37.7551453612206, -122.410227658828"
B163461,10/31/2016,,,1400 Block Of 32nd Avenue,94122,4,Sunset/Parkside,"37.7601552022345, -122.490789575412"
B163450,10/28/2016,,,1200 Block Of 19th Street,94107,10,Potrero Hill,"37.7614423682523, -122.394961069428"
B163451,10/28/2016,,,1700 Block Of Cabrillo Street,94121,1,Outer Richmond,"37.7748092448593, -122.477368820667"
B163452,10/28/2016,"$50,000.00",3,1700 Block Of Cabrillo Street,94121,1,Outer Richmond,"37.7748092448593, -122.477368820667"
B163453,10/28/2016,,,1700 Block Of Cabrillo Street,94121,1,Outer Richmond,"37.7748092448593, -122.477368820667"
B163454,10/28/2016,"$45,000.00",2,1100 Block Of Church Street,94114,8,Noe Valley,"37.7528749336884, -122.427474292904"
B163447,10/27/2016,,,400 Block Of 35th Avenue,94121,1,Outer Richmond,"37.7805620909991, -122.495451314492"
B163445,10/26/2016,"$130,000.00",1,2800 Block Of Folsom Street,94110,9,Mission,"37.7517086694029, -122.41393694174"
B163446,10/26/2016,,,100 Block Of Downey Street,94117,5,Haight Ashbury,"37.7654006855146, -122.446920237388"
B163442,10/25/2016,,,900 Block Of Cayuga Avenue,94112,11,Outer Mission,"37.7224256100655, -122.439619315447"
B163384,10/24/2016,"$11,780.00",2,100 Block Of Eureka Street,94114,8,Castro/Upper Market,"37.7598883278694, -122.438257852775"
B163439,10/24/2016,,,300 Block Of San Carlos Street,94110,9,Mission,"37.7577905968992, -122.419696229764"
B163440,10/24/2016,"$7,200.00",1,1100 Block Of Pine Street,94109,3,Nob Hill,"37.7903887575003, -122.414938764112"
B163441,10/24/2016,,,0 Block Of Carver Street,94110,9,Bernal Heights,"37.7421961561665, -122.410102168157"
B163379,10/21/2016,"$13,701.00",2,3800 Block Of Irving Street,94122,4,Sunset/Parkside,"37.7626479298238, -122.499095220458"
B163380,10/21/2016,"$12,000.00",2,100 Block Of Burnside Avenue,94131,8,West of Twin Peaks,"37.7335004313692, -122.438752505544"
B163381,10/21/2016,"$1,000.00",2,100 Block Of Burnside Avenue,94131,8,West of Twin Peaks,"37.7335004313692, -122.438752505544"
B163382,10/21/2016,"$77,000.00",1,200 Block Of 19th Avenue,94121,1,Outer Richmond,"37.7832443396697, -122.478442077915"
B163383,10/21/2016,,,1700 Block Of 28th Avenue,94122,4,Sunset/Parkside,"37.7547459752908, -122.486251948431"
B163375,10/20/2016,"$40,000.00",2,1500 Block Of Treat Avenue,94110,9,Bernal Heights,"37.7456993941866, -122.412369238773"
B163376,10/20/2016,"$24,320.00",2,200 Block Of Richland Avenue,94110,9,Bernal Heights,"37.7359072613705, -122.42165327531"
B163377,10/20/2016,,,700 Block Of 11th Avenue,94118,1,Inner Richmond,"37.7741879006311, -122.469228773453"
B163378,10/20/2016,,,700 Block Of 11th Avenue,94118,1,Inner Richmond,"37.7741879006311, -122.469228773453"
B163373,10/19/2016,,,2100 Block Of Mason Street,94133,3,North Beach,"37.8033031859607, -122.413060207568"
B163371,10/18/2016,"$11,780.00",2,1300 Block Of De Haro Street,94107,10,Potrero Hill,"37.7523689622415, -122.400289527868"
B163372,10/18/2016,,,1700 Block Of Newcomb Avenue,94124,10,Bayview Hunters Point,"37.7367746862679, -122.392625758171"
B163299,10/17/2016,"$65,000.00",1,2200 Block Of Sutter Street,94115,2,Pacific Heights,"37.7856178081923, -122.437392724832"
B163369,10/17/2016,,,300 Block Of Morse Street,94112,11,Excelsior,"37.7125264913997, -122.440831528088"
B163370,10/17/2016,,,700 Block Of Cole Street,94117,5,Haight Ashbury,"37.7681374945918, -122.450359833682"
B163297,10/14/2016,"$73,000.00",3,0 Block Of Steiner Street,94117,8,Hayes Valley,"37.7696796844781, -122.431575371699"
B163298,10/14/2016,,,400 Block Of Flood Avenue,94112,7,West of Twin Peaks,"37.729932179745, -122.449995499258"
B163294,10/13/2016,,,300 Block Of Duncan Street,94131,8,Noe Valley,"37.7460841691561, -122.428009132349"
B163295,10/13/2016,"$35,000.00",1,600 Block Of 32nd Avenue,94121,1,Outer Richmond,"37.7768882098783, -122.492096250155"
B163291,10/12/2016,"$22,000.00",1,2900 Block Of Folsom Street,94110,9,Mission,"37.7500991051828, -122.413917171629"
B163292,10/12/2016,,,1600 Block Of Rivera Street,94116,4,Sunset/Parkside,"37.7463703147599, -122.483983999933"
B163286,10/11/2016,,,3000 Block Of 19th Avenue,94132,7,Sunset/Parkside,"37.7317543738067, -122.475036807908"
B163287,10/11/2016,,,2200 Block Of Francisco Street,94123,2,Marina,"37.8009627576897, -122.442190212598"
B163288,10/11/2016,,,100 Block Of Ellington Avenue,94112,11,Outer Mission,"37.7145087395554, -122.443691632466"
B163289,10/11/2016,,,1800 Block Of 31st Avenue,94122,4,Sunset/Parkside,"37.7527435671439, -122.489189566137"
B163290,10/11/2016,,,100 Block Of Langton Street,94103,6,South of Market,"37.775532581855, -122.40748636485"
B163279,10/07/2016,,,600 Block Of Masonic Street,94117,5,Lone Mountain/USF,"37.7753276869762, -122.446445584056"
B163282,10/07/2016,"$25,000.00",1,1500 Block Of Sacramento Street,94109,3,Nob Hill,"37.7918676067273, -122.418413462672"
B163283,10/07/2016,,,2600 Block Of Mission Street,94110,9,Mission,"37.7546409374733, -122.418601779737"
B163284,10/07/2016,,,2600 Block Of Mission Street,94110,9,Mission,"37.7546409374733, -122.418601779737"
B163285,10/07/2016,"$39,597.00",4,400 Block Of 14th Avenue,94118,1,Outer Richmond,"37.7796642525789, -122.47284533062"
B163200,10/06/2016,"$60,750.00",2,200 Block Of Lincoln Way,94122,5,Inner Sunset,"37.7660877746715, -122.460552723843"
B163202,10/06/2016,,,200 Block Of Precita Avenue,94110,9,Bernal Heights,"37.7473747539843, -122.415501873961"
B163203,10/06/2016,"$50,000.00",2,300 Block Of Liberty Street,94114,8,Castro/Upper Market,"37.757322453303, -122.429051968676"
B163198,10/05/2016,,,2000 Block Of Greenwich Street,94123,2,Marina,"37.7993194441652, -122.433413524971"
B163199,10/05/2016,,,2000 Block Of Greenwich Street,94123,2,Marina,"37.7993194441652, -122.433413524971"
B163201,10/05/2016,,,600 Block Of Steiner Street,94117,5,Hayes Valley,"37.7751684153377, -122.43266741405"
B163194,10/04/2016,,,100 Block Of Haight Street,94102,5,Hayes Valley,"37.772900089786, -122.424646169167"
B163195,10/04/2016,,,200 Block Of Chattanooga Street,94114,8,Noe Valley,"37.7525693952161, -122.426336372717"
B163196,10/04/2016,,,2400 Block Of 24th Street,94110,10,Mission,"37.7532046648256, -122.403889561443"
B163197,10/04/2016,,,1000 Block Of Capp Street,94110,9,Mission,"37.7499099821997, -122.417055896338"
B163174,10/03/2016,,,2000 Block Of Powell Street,94133,3,North Beach,"37.8035076055371, -122.411416574341"
B163176,10/03/2016,,,2000 Block Of Powell Street,94133,3,North Beach,"37.8035076055371, -122.411416574341"
B163186,10/03/2016,"$12,000.00",2,300 Block Of Buchanan Street,94102,5,Hayes Valley,"37.7727724969859, -122.427141201971"
B163187,10/03/2016,,,100 Block Of Wood Street,94118,1,Lone Mountain/USF,"37.7815210387919, -122.448987653708"
B163189,10/03/2016,,,100 Block Of Wood Street,94118,1,Lone Mountain/USF,"37.7815210387919, -122.448987653708"
B163190,10/03/2016,,,100 Block Of Wood Street,94118,1,Lone Mountain/USF,"37.7815210387919, -122.448987653708"
B163181,09/30/2016,"$10,000.00",3,700 Block Of Rolph Street,94112,11,Excelsior,"37.7118551162149, -122.431001018992"
B163182,09/30/2016,,,800 Block Of Union Street,94133,3,Russian Hill,"37.7998740959649, -122.413284671336"
B163183,09/30/2016,,,800 Block Of Union Street,94133,3,Russian Hill,"37.7998740959649, -122.413284671336"
B163184,09/30/2016,,,800 Block Of Union Street,94133,3,Russian Hill,"37.7998740959649, -122.413284671336"
B163185,09/30/2016,,,800 Block Of Union Street,94133,3,Russian Hill,"37.7998740959649, -122.413284671336"
B163179,09/29/2016,,,200 Block Of Upper Terrace,94117,8,Castro/Upper Market,"37.7628549655396, -122.445069216182"
B163177,09/28/2016,,,0 Block Of Apollo Street,94124,10,Bayview Hunters Point,"37.7321247871773, -122.397765577338"
B163178,09/28/2016,,,100 Block Of Haight Street,94102,5,Hayes Valley,"37.772900089786, -122.424646169167"
B163180,09/28/2016,"$40,000.00",4,800 Block Of York Street,94110,9,Mission,"37.7584679965714, -122.40879783772"
B163169,09/27/2016,,,2600 Block Of Mission Street,94110,9,Mission,"37.7546409374733, -122.418601779737"
B163170,09/27/2016,,,2600 Block Of Mission Street,94110,9,Mission,"37.7546409374733, -122.418601779737"
B163171,09/27/2016,,,2600 Block Of Mission Street,94110,9,Mission,"37.7546409374733, -122.418601779737"
B163173,09/27/2016,,,1100 Block Of Alabama Street,94110,9,Mission,"37.7534815567767, -122.411110362482"
B163175,09/27/2016,,,3200 Block Of Folsom Street,94110,9,Bernal Heights,"37.7459615832326, -122.41338522739"
B163161,09/26/2016,,,2900 Block Of Pierce Street,94123,2,Marina,"37.7971452029357, -122.438805326271"
B163162,09/26/2016,,,1400 Block Of Taylor Street,94133,3,Nob Hill,"37.7956493528677, -122.413208627052"
B163163,09/26/2016,,,900 Block Of Potrero Avenue,94110,9,Potrero Hill,"37.7572895902315, -122.406870402494"
B163164,09/26/2016,"$38,000.00",2,0 Block Of Brighton Avenue,94112,11,Oceanview/Merced/Ingleside,"37.7191361836646, -122.4551840018"
B163165,09/26/2016,,,1800 Block Of Turk Street,94115,5,Western Addition,"37.779494968816, -122.439556998155"
B163166,09/26/2016,,,2100 Block Of Jones Street,94133,2,Russian Hill,"37.8007713978691, -122.416059006464"
B163167,09/26/2016,"$30,000.00",2,100 Block Of Gladeview Way,94131,7,Twin Peaks,"37.7520317841899, -122.450511726423"
B163159,09/23/2016,,,1400 Block Of Oakdale Street,94124,10,Bayview Hunters Point,"37.7329556345412, -122.387590806567"
B163160,09/23/2016,"$49,552.50",1,100 Block Of Baker Street,94117,5,Haight Ashbury,"37.7722546953594, -122.440572356401"
B162975,09/22/2016,,,400 Block Of Rolph Street,94112,11,Excelsior,"37.7126882433766, -122.434579904374"
B162976,09/22/2016,,,1700 Block Of San Jose Avenue,94112,11,Outer Mission,"37.7291236189096, -122.439849387625"
B163158,09/22/2016,"$10,000.00",2,2000 Block Of Broderick Street,94115,2,Pacific Heights,"37.7892305895665, -122.442318543029"
B162973,09/21/2016,,,0 Block Of Iris Avenue,94118,2,Presidio Heights,"37.7850009819369, -122.451942215164"
B162974,09/21/2016,"$27,258.69",2,200 Block Of Grand View Avenue,94114,8,Noe Valley,"37.7537192227924, -122.441407506124"
B162977,09/21/2016,"$96,785.00",2,3900 Block Of 26th Street,94131,8,Noe Valley,"37.7484838218738, -122.428239848114"
B162978,09/21/2016,"$19,390.00",1,1800 Block Of Stockton Street,94133,3,North Beach,"37.8027782546687, -122.409586942105"
B162979,09/21/2016,"$10,000.00",1,0 Block Of College Terrace,94112,8,Bernal Heights,"37.7345979818744, -122.426168703889"
B162980,09/21/2016,"$10,000.00",1,0 Block Of College Terrace,94112,8,Bernal Heights,"37.7345979818744, -122.426168703889"
B162981,09/21/2016,"$15,000.00",1,0 Block Of College Terrace,94112,8,Bernal Heights,"37.7345979818744, -122.426168703889"
B162938,09/20/2016,,,500 Block Of Naples Street,94112,11,Excelsior,"37.7201054303813, -122.431854357033"
B162937,09/19/2016,"$52,500.00",2,1400 Block Of Clement Street,94118,1,Outer Richmond,"37.7825380105314, -122.474677115828"
B162928,09/16/2016,,,200 Block Of Bowdoin Street,94134,9,Portola,"37.7311110644681, -122.413015334174"
B162929,09/16/2016,"$39,757.13",1,400 Block Of Linden Street,94102,5,Hayes Valley,"37.7761535063632, -122.425377176917"
B162930,09/16/2016,,,2200 Block Of 42nd Avenue,94116,4,Sunset/Parkside,"37.744765197175, -122.500461812537"
B162931,09/16/2016,,,1600 Block Of North Point Street,94123,2,Marina,"37.8039824806038, -122.434357957448"
B162932,09/16/2016,,,300 Block Of 4th Avenue,94118,1,Inner Richmond,"37.7820778168899, -122.462139928813"
B162936,09/16/2016,"$20,000.00",1,1100 Block Of Sanchez Street,94114,8,Noe Valley,"37.7511620208365, -122.429686576706"
B162924,09/15/2016,,,0 Block Of Naylor Street,94112,11,Excelsior,"37.7110556663308, -122.433944322407"
B162925,09/15/2016,"$75,000.00",2,3800 Block Of 18th Street,94114,8,Castro/Upper Market,"37.7612772989865, -122.429469068506"
B162926,09/15/2016,,,0 Block Of Southwood Drive,94112,7,West of Twin Peaks,"37.7250625057942, -122.457752355422"
B162927,09/15/2016,"$30,000.00",8,700 Block Of Brazil Avenue,94112,11,Excelsior,"37.721783293682, -122.428876482764"
B162923,09/14/2016,,,3900 Block Of Lincoln Way,94122,4,Sunset/Parkside,"37.7643402052422, -122.500288341261"
B162920,09/13/2016,,,200 Block Of Downey Street,94117,5,Haight Ashbury,"37.7654182578924, -122.446783639096"
B162921,09/13/2016,,,500 Block Of Noe Street,94114,8,Castro/Upper Market,"37.7598276652438, -122.43260778721"
B162922,09/13/2016,,,300 Block Of 5th Avenue,94118,1,Inner Richmond,"37.7820265124035, -122.463349690248"
B162863,09/12/2016,,,500 Block Of Scott Street,94117,5,Hayes Valley,"37.7747500421103, -122.435966326974"
B162864,09/12/2016,"$57,400.00",3,1600 Block Of 24th Avenue,94122,4,Sunset/Parkside,"37.7567983541019, -122.482094455461"
B162861,09/09/2016,"$60,000.00",1,2100 Block Of California Street,94115,5,Pacific Heights,"37.7893748865175, -122.429717207144"
B162859,09/08/2016,"$40,000.00",2,2500 Block Of Polk Street,94109,2,Russian Hill,"37.8001676043418, -122.422550837706"
B162860,09/08/2016,,,3100 Block Of Clay Street,94115,2,Pacific Heights,"37.7894069839107, -122.444949721406"
B162799,09/07/2016,,,2400 Block Of 21st Avenue,94116,4,Sunset/Parkside,"37.7420261735849, -122.47770068724"
B162850,09/07/2016,,,600 Block Of Capp Street,94110,9,Mission,"37.7563058754319, -122.417666463719"
B162851,09/07/2016,,,600 Block Of Capp Street,94110,9,Mission,"37.7563058754319, -122.417666463719"
B162852,09/07/2016,,,600 Block Of Capp Street,94110,9,Mission,"37.7563058754319, -122.417666463719"
B162853,09/07/2016,"$35,000.00",2,4000 Block Of Cabrillo Street,94121,1,Outer Richmond,"37.7736829343271, -122.502002957284"
B162796,09/06/2016,"$30,000.00",2,100 Block Of Teddy Avenue,94134,10,Visitacion Valley,"37.714178804797, -122.405486548812"
B162797,09/06/2016,,,100 Block Of Felton Street,94134,9,Portola,"37.7296995803101, -122.406105145049"
B162798,09/06/2016,,,2300 Block Of Folsom Street,94110,9,Mission,"37.7597015511856, -122.414696971221"
B162794,09/02/2016,,,100 Block Of College Avenue,94112,8,Bernal Heights,"37.7354576397349, -122.42648021217"
B162795,09/02/2016,,,600 Block Of 7th Avenue,94118,1,Inner Richmond,"37.7762562978623, -122.464941351674"
B162788,09/01/2016,,,3800 Block Of Fulton Street,94118,1,Outer Richmond,"37.7731433543873, -122.472866576443"
B162789,09/01/2016,"$20,000.00",1,700 Block Of Rhode Island Street,94107,10,Potrero Hill,"37.760308806704, -122.402210445924"
B162790,09/01/2016,"$15,000.00",1,100 Block Of Haight Street,94102,5,Hayes Valley,"37.772791620267, -122.424624269959"
B162791,09/01/2016,,,200 Block Of Jersey Street,94114,8,Noe Valley,"37.7507499565743, -122.43069050549"
B162792,09/01/2016,$600.00,1,700 Block Of Stanyan Street,94117,5,Haight Ashbury,"37.7677850583742, -122.453190198739"
B162793,09/01/2016,"$20,000.00",1,1500 Block Of Balboa Street,94118,1,Outer Richmond,"37.7766624373991, -122.475350817317"
B162783,08/30/2016,,,0 Block Of Buchanan Street,94102,8,Hayes Valley,"37.7700778990981, -122.426592754519"
B162784,08/30/2016,"$25,000.00",2,100 Block Of Ellsworth Street,94110,9,Bernal Heights,"37.740946075869, -122.41442704419"
B162785,08/30/2016,"$24,500.00",1,400 Block Of Lyon Street,94117,5,Lone Mountain/USF,"37.7748184229282, -122.442918467594"
B162786,08/30/2016,,,2200 Block Of Larkin Street,94109,3,Russian Hill,"37.7983718643076, -122.420498877752"
B162779,08/29/2016,"$90,000.00",2,400 Block Of Belvedere Street,94117,5,Haight Ashbury,"37.7637902313526, -122.44812334762"
B162780,08/29/2016,,,0 Block Of Sycamore Street,94110,9,Mission,"37.7627003582331, -122.420562762663"
B162781,08/29/2016,,,1600 Block Of Bay Street,94123,2,Marina,"37.8030064344989, -122.434161235536"
B162782,08/29/2016,,,3600 Block Of 19th Street,94110,8,Mission,"37.7598067998463, -122.425386497527"
B162728,08/26/2016,,,1500 Block Of 15th Street,94103,9,Mission,"37.7667276112662, -122.41801884768"
B162729,08/26/2016,"$6,990.00",1,3500 Block Of 20th Street,94110,9,Mission,"37.758510056055, -122.4201688258"
B162726,08/24/2016,,,200 Block Of 3rd Avenue,94118,1,Inner Richmond,"37.7840191581616, -122.461341037155"
B162727,08/24/2016,,,2000 Block Of Polk Street,94109,3,Russian Hill,"37.7954776822632, -122.421743807207"
B162724,08/23/2016,"$9,000.00",3,1400 Block Of Waller Street,94117,5,Haight Ashbury,"37.7688628040085, -122.447967737413"
B162725,08/23/2016,"$20,000.00",1,1400 Block Of Revere Avenue,94124,10,Bayview Hunters Point,"37.7300297215799, -122.387395567646"
B162787,08/23/2016,,,500 Block Of Vallejo Street,94133,3,North Beach,"37.7989446285905, -122.406294561407"
B162719,08/22/2016,,,1000 Block Of Shrader Street,94117,5,Haight Ashbury,"37.7651403093129, -122.451376279305"
B162720,08/22/2016,"$10,640.00",3,1500 Block Of Fulton Street,94117,5,Lone Mountain/USF,"37.7763847738943, -122.442321333639"
B162721,08/22/2016,,,2700 Block Of 22nd Street,94110,9,Mission,"37.7560813493634, -122.408971392013"
B162722,08/22/2016,,,2700 Block Of 22nd Street,94110,9,Mission,"37.7560813493634, -122.408971392013"
B162723,08/22/2016,,,2700 Block Of 22nd Street,94110,9,Mission,"37.7560813493634, -122.408971392013"
B162670,08/19/2016,,,1500 Block Of 10th Avenue,94122,7,Inner Sunset,"37.7593280898576, -122.467126225901"
B162671,08/19/2016,,,1500 Block Of 10th Avenue,94122,7,Inner Sunset,"37.7593280898576, -122.467126225901"
B162672,08/19/2016,,,0 Block Of Rosenkranz Street,94110,9,Bernal Heights,"37.7420102293631, -122.410752344444"
B162673,08/19/2016,$0.00,1,0 Block Of Rosenkranz Street,94110,9,Bernal Heights,"37.7420102293631, -122.410752344444"
B162674,08/19/2016,,,5700 Block Of Geary Boulevard,94121,1,Outer Richmond,"37.7801345145953, -122.480970662876"
B162667,08/18/2016,"$70,619.01",4,500 Block Of Alvarado Street,94114,8,Noe Valley,"37.7537017229108, -122.433203209478"
B162668,08/18/2016,,,200 Block Of Folsom Street,94110,6,Financial District/South Beach,"37.7890669034609, -122.392339379947"
B162669,08/18/2016,,,100 Block Of Majestic Avenue,94112,11,Oceanview/Merced/Ingleside,"37.7162546804451, -122.45258393042"
B162664,08/17/2016,,,500 Block Of Chestnut Street,94133,3,North Beach,"37.8038385120435, -122.413047207327"
B162665,08/17/2016,"$22,725.00",1,600 Block Of Vermont Street,94107,10,Potrero Hill,"37.7614690639367, -122.404265613745"
B162666,08/17/2016,,,700 Block Of Green Street,94133,3,Chinatown,"37.7993068756211, -122.411052651187"
B162663,08/16/2016,"$8,000.00",2,0 Block Of 29th Street,94110,9,Bernal Heights,"37.7439537433706, -122.421430546192"
B162656,08/15/2016,"$5,500.00",1,700 Block Of Hayes Street,94102,5,Hayes Valley,"37.7762032094245, -122.428744875404"
B162657,08/15/2016,"$25,937.50",1,300 Block Of Leland Avenue,94134,10,Visitacion Valley,"37.7135747750292, -122.411366670859"
B162662,08/15/2016,"$16,500.00",1,2100 Block Of California Street,94115,5,Pacific Heights,"37.7893748865175, -122.429717207144"
B162573,08/12/2016,,,100 Block Of Jules Avenue,94112,11,Oceanview/Merced/Ingleside,"37.720924824352, -122.461168962549"
B162574,08/12/2016,"$17,670.00",2,4200 Block Of 22nd Street,94114,8,Noe Valley,"37.7542515827026, -122.439322710732"
B162566,08/11/2016,,,400 Block Of Central Avenue,94117,5,Lone Mountain/USF,"37.7736721216367, -122.444378730504"
B162567,08/11/2016,,,400 Block Of Central Avenue,94117,5,Lone Mountain/USF,"37.7736721216367, -122.444378730504"
B162568,08/11/2016,"$7,000.00",1,2300 Block Of 39th Avenue,94116,4,Sunset/Parkside,"37.7430360286514, -122.497251348542"
B162569,08/11/2016,,,2200 Block Of Pine Street,94115,2,Pacific Heights,"37.7880566897815, -122.433247281566"
B162570,08/11/2016,,,200 Block Of Diamond Street,94114,8,Castro/Upper Market,"37.7583529496468, -122.437031438772"
B162571,08/11/2016,"$6,000.00",1,1200 Block Of Grove Street,94117,5,Hayes Valley,"37.7759773869137, -122.437143056905"
B162572,08/11/2016,,,800 Block Of Greenwich Street,94133,3,Russian Hill,"37.8018964095187, -122.413270635249"
B162655,08/11/2016,"$29,451.00",4,2700 Block Of 36th Avenue,94116,4,Sunset/Parkside,"37.7357840764318, -122.493404518526"
B162560,08/10/2016,,,700 Block Of Edinburgh Street,94112,11,Excelsior,"37.717319773583, -122.434883626478"
B162565,08/10/2016,,,100 Block Of Charles Street,94131,8,Glen Park,"37.7383369518802, -122.425660801005"
B162558,08/09/2016,"$30,000.00",2,900 Block Of Sanchez Street,94114,8,Noe Valley,"37.7535618486835, -122.42977713006"
B162553,08/08/2016,,,2600 Block Of 30th Avenue,94116,4,Sunset/Parkside,"37.73824719627, -122.487514244217"
B162531,08/05/2016,,,700 Block Of Douglass Street,94114,8,Noe Valley,"37.7522242885598, -122.438658355622"
B162532,08/05/2016,,,700 Block Of Douglass Street,94114,8,Noe Valley,"37.7522242885598, -122.438658355622"
B162533,08/05/2016,,,700 Block Of Douglass Street,94114,8,Noe Valley,"37.7522242885598, -122.438658355622"
B162549,08/05/2016,,,2500 Block Of Fillmore Street,94115,2,Pacific Heights,"37.7929008122475, -122.434714045544"
B162550,08/05/2016,,,100 Block Of Chenery Street,94131,8,Glen Park,"37.7393855824938, -122.425747963684"
B162528,08/04/2016,,,4500 Block Of 18th Street,94114,8,Castro/Upper Market,"37.7605016741875, -122.440465074849"
B162529,08/04/2016,,,4500 Block Of 18th Street,94114,8,Castro/Upper Market,"37.7605016741875, -122.440465074849"
B162530,08/04/2016,"$95,000.00",1,500 Block Of Dolores Street,94110,8,Mission,"37.7606376836144, -122.425843697547"
B162527,08/03/2016,,,11011100 Block Of Naples Street,94112,11,Excelsior,"37.7129344040513, -122.437003786512"
B162521,08/02/2016,,,200 Block Of Santa Rosa Avenue,94112,11,Outer Mission,"37.7281778517707, -122.438551979484"
B162522,08/02/2016,"$25,000.00",1,600 Block Of Baker Street,94117,5,Western Addition,"37.7769128704259, -122.441514932469"
B162523,08/02/2016,,,1400 Block Of Revere Avenue,94124,10,Bayview Hunters Point,"37.7300297215799, -122.387395567646"
B162524,08/02/2016,,,3800 Block Of 18th Street,94114,8,Castro/Upper Market,"37.7611677619305, -122.42945856848"
B162525,08/02/2016,,,1400 Block Of Revere Avenue,94124,10,Bayview Hunters Point,"37.7300297215799, -122.387395567646"
B162526,08/02/2016,,,1400 Block Of Revere Avenue,94124,10,Bayview Hunters Point,"37.7300297215799, -122.387395567646"
B162515,08/01/2016,,,500 Block Of Dolores Street,94110,8,Mission,"37.7606376836144, -122.425843697547"
B162516,08/01/2016,,,500 Block Of Dolores Street,94110,8,Mission,"37.7606376836144, -122.425843697547"
B162517,08/01/2016,,,2900 Block Of San Bruno Avenue,94134,9,Portola,"37.724652379424, -122.402288649237"
B162518,08/01/2016,"$40,000.00",4,3400 Block Of Mission Street,94110,9,Bernal Heights,"37.7413688555834, -122.422541993376"
B162519,08/01/2016,"$25,000.00",1,1600 Block Of Washington Street,94109,3,Russian Hill,"37.793416640271, -122.420415462262"
B162484,07/29/2016,,,600 Block Of De Haro Street,94107,10,Potrero Hill,"37.7616466360645, -122.401331077672"
B162481,07/28/2016,"$37,500.00",2,800 Block Of Goettingen Street,94134,9,Portola,"37.7213977857068, -122.40435712373"
B162482,07/28/2016,,,800 Block Of Wisconsin Street,94107,10,Potrero Hill,"37.7565666847099, -122.398938309508"
B162483,07/28/2016,,,1300 Block Of Stevenson Street,94103,6,Mission,"37.7707839540722, -122.421596103325"
B162475,07/27/2016,,,1700 Block Of Fulton Street,94117,5,Lone Mountain/USF,"37.7758548584821, -122.445614414887"
B162476,07/27/2016,,,1700 Block Of Fulton Street,94117,5,Lone Mountain/USF,"37.7758548584821, -122.445614414887"
B162477,07/27/2016,"$7,500.00",1,500 Block Of Bartlett Street,94110,9,Mission,"37.7485724251623, -122.419277597921"
B162478,07/27/2016,,,2800 Block Of Broderick Street,94123,2,Marina,"37.7964938269682, -122.443923981462"
B162479,07/27/2016,"$54,859.24",2,1400 Block Of 35th Avenue,94122,4,Sunset/Parkside,"37.7600132952115, -122.494005782802"
B162470,07/26/2016,,,300 Block Of West Portal Avenue,94127,7,West of Twin Peaks,"37.7373722060601, -122.469939861492"
B162471,07/26/2016,,,1600 Block Of Washington Street,94109,3,Russian Hill,"37.7933081597649, -122.420393646735"
B162472,07/26/2016,,,1600 Block Of Washington Street,94109,3,Russian Hill,"37.7933081597649, -122.420393646735"
B162473,07/26/2016,,,1600 Block Of Washington Street,94109,3,Russian Hill,"37.7933081597649, -122.420393646735"
B162474,07/26/2016,,,1600 Block Of Washington Street,94109,3,Russian Hill,"37.7933081597649, -122.420393646735"
B162464,07/25/2016,,,100 Block Of 22nd Avenue,94121,1,Outer Richmond,"37.7849531019212, -122.481929274939"
B162465,07/25/2016,,,100 Block Of 22nd Avenue,94121,1,Outer Richmond,"37.7849531019212, -122.481929274939"
